City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,touros,-5.1989,-35.4608,29.4,66,34,5.07,BR,1693062700
1,labytnangi,66.6572,66.4183,6.43,83,96,4.27,RU,1693062701
2,port-aux-francais,-49.35,70.2167,3.74,76,67,7.11,TF,1693062702
3,grytviken,-54.2811,-36.5092,-4.59,72,21,9.86,GS,1693062703
4,puerto natales,-51.7236,-72.4875,3.31,68,100,2.0,CL,1693062704
5,sarnia,42.9787,-82.4041,20.07,84,100,1.54,CA,1693062652
6,kruisfontein,-34.0033,24.7314,11.6,73,73,9.63,ZA,1693062705
7,thompson,55.7435,-97.8558,17.59,62,0,4.79,CA,1693062706
8,vernon,50.2581,-119.2691,16.91,71,0,0.24,CA,1693062707
9,st. john's,47.5649,-52.7093,20.38,79,51,3.13,CA,1693062707
10,dunedin,-45.8742,170.5036,6.56,72,81,4.02,NZ,1693062708
11,waitangi,-43.9535,-176.5597,8.79,81,100,5.21,NZ,1693062709
12,galveston,29.3669,-94.9669,33.35,78,20,2.06,US,1693062710
13,papatowai,-46.5619,169.4708,4.76,81,60,5.91,NZ,1693062710
14,port elizabeth,-33.918,25.5701,13.16,76,75,9.77,ZA,1693062563
15,hithadhoo,-0.6,73.0833,28.54,75,75,2.14,MV,1693062712
16,mossel bay,-34.1831,22.146,13.51,60,49,7.86,ZA,1693062712
17,yellowknife,62.456,-114.3525,18.01,86,100,2.68,CA,1693062421
18,san patricio,28.017,-97.5169,32.17,67,20,2.5,US,1693062714
19,marsh harbour,26.5412,-77.0636,28.79,73,27,4.26,BS,1693062715
20,alice springs,-23.7,133.8833,8.75,40,0,0.51,AU,1693062715
21,port mathurin,-19.6833,63.4167,22.82,76,74,11.54,MU,1693062716
22,ushuaia,-54.8,-68.3,5.81,61,20,3.09,AR,1693062126
23,avarua,-21.2078,-159.775,25.03,88,100,5.66,CK,1693062717
24,bethel,41.3712,-73.414,27.05,70,0,1.54,US,1693062667
25,puerto ayora,-0.7393,-90.3518,27.98,92,84,3.58,EC,1693062719
26,hadibu,12.65,54.0333,26.91,80,47,6.74,YE,1693062719
27,chonchi,-42.6128,-73.8092,9.51,65,17,2.31,CL,1693062720
28,isafjordur,66.0755,-23.124,16.02,67,75,3.09,IS,1693062721
